1.php;skelet php pagina
2.php;de commando's print en echo
3.php;strings en concatenatie
4.php;rekenen in php
5.php;variabelen in php
6.php;opmerkingen over de syntax van php
7.php;control loops If
8.php;control loops Switch
9.php;arrays
10.php;control loops: For
11.php;control loops: While/DoWhile
12.php;functies: ingebouwd
13.php;functies: eigen functies
14.php;include: insluiten functieverzamelingen
15.php;forms: standaard html formulier
16.php;forms: html5 specifiek
17.php;sessies
18.php;hashes
